,MAE,MRE,RMSE,r_{\mathrm{Pearson}},\rho_{\mathrm{Spearman}}
Transformer,BOLD{0.495 ± 0.005},3.094 ± 0.951,BOLD{0.759 ± 0.008},BOLD{0.649 ± 0.006},BOLD{0.643 ± 0.006}
Linear,0.511 ± 0.009,4.575 ± 1.324,0.957 ± 0.032,0.509 ± 0.017,0.626 ± 0.008
Nearest,0.548 ± 0.009,5.136 ± 1.546,1.064 ± 0.037,0.469 ± 0.017,0.607 ± 0.008
Median,0.668 ± 0.007,2.18 ± 0.348,1.06 ± 0.01,-0.096 ± 0.01,-0.019 ± 0.011
Spline,0.7 ± 0.133,3.956 ± 0.823,4.049 ± 11.157,0.204 ± 0.112,0.415 ± 0.01
Mean,0.729 ± 0.005,BOLD{1.519 ± 0.179},1.027 ± 0.009,-0.254 ± 0.007,-0.281 ± 0.008
Mode,0.946 ± 0.016,7.556 ± 1.607,1.502 ± 0.028,-0.018 ± 0.01,0.015 ± 0.013
Quadratic,172.244 ± 102.692,1081.808 ± 1324.524,6644.463 ± 5308.724,0.002 ± 0.011,0.255 ± 0.013
